time(s),strike_slip(m),strike_slip_error(m),dip_slip(m),dip_slip_error(m),strike_slip_velocity(m/s)
0.0,0.0,0.86,0.0,0.479,0.0
0.041666666666666664,0.0,0.86,0.0,0.479,0.0
0.08333333333333333,0.0,0.86,0.0,0.479,0.0
0.125,0.0,0.86,0.0,0.479,0.0
0.16666666666666666,0.0,0.86,0.0,0.479,0.0
0.20833333333333331,0.0,0.86,0.0,0.479,0.0
0.25,0.0,0.86,0.0,0.479,0.0
0.29166666666666663,0.0,0.86,0.0,0.479,0.0
0.3333333333333333,0.0,0.86,0.0,0.479,0.0
0.375,0.0,0.86,0.0,0.479,0.0
0.41666666666666663,0.0,0.86,0.0,0.479,0.0
0.4583333333333333,0.0,0.86,0.0,0.479,0.0
0.5,0.0,0.86,0.0,0.479,0.0
0.5416666666666666,0.0,0.86,0.0,0.479,0.0
0.5833333333333333,0.0,0.86,0.0,0.479,0.0
0.625,0.0,0.86,0.0,0.479,0.0
0.6666666666666666,0.0,0.86,0.0,0.479,0.0
0.7083333333333333,0.0,0.86,0.0,0.479,0.0
0.75,0.0,0.86,0.0,0.479,0.0
0.7916666666666666,0.0,0.86,0.0,0.479,0.0
0.8333333333333333,0.0,0.86,0.0,0.479,0.0
0.875,0.0,0.86,0.0,0.479,0.0
0.9166666666666666,0.0,0.86,0.0,0.479,0.0
0.9583333333333333,0.0,0.86,0.0,0.479,0.0
1.0,0.0,0.86,0.0,0.479,0.0
1.0416666666666665,0.0,0.86,0.0,0.479,0.0
1.0833333333333333,0.0,0.86,0.0,0.479,0.0
1.125,0.0,0.86,0.0,0.479,0.0
1.1666666666666665,0.0,0.86,0.0,0.479,0.0
1.2083333333333333,0.0,0.86,0.0,0.479,0.0
1.25,0.0,0.86,0.0,0.479,0.0
1.2916666666666665,0.0,0.86,0.0,0.479,0.0
1.3333333333333333,0.0,0.86,0.0,0.479,0.0
1.375,0.0,0.86,0.0,0.479,0.0
1.4166666666666665,0.0,0.86,0.0,0.479,0.0
1.4583333333333333,0.0,0.86,0.0,0.479,0.0
1.5,0.0,0.86,0.0,0.479,0.0
1.5416666666666665,0.0,0.86,0.0,0.479,0.0
1.5833333333333333,0.0,0.86,0.0,0.479,0.0
1.625,0.0,0.86,0.0,0.479,0.0
1.6666666666666665,0.0,0.86,0.0,0.479,0.0
1.7083333333333333,0.0,0.86,0.0,0.479,0.0
1.75,0.0,0.86,0.0,0.479,0.0
1.7916666666666665,0.0,0.86,0.0,0.479,0.0
1.8333333333333333,0.0,0.86,0.0,0.479,0.0
1.875,0.0,0.86,0.0,0.479,0.0
1.9166666666666665,0.0,0.86,0.0,0.479,0.0
1.9583333333333333,0.0,0.86,0.0,0.479,0.0
2.0,0.0,0.86,0.0,0.479,0.0
2.0416666666666665,0.0,0.86,0.0,0.479,0.0
2.083333333333333,0.0,0.86,0.0,0.479,0.0
2.125,0.0,0.86,0.0,0.479,0.0
2.1666666666666665,0.0,0.86,0.0,0.479,0.0
2.208333333333333,0.0,0.86,0.0,0.479,0.0
2.25,0.0,0.86,0.0,0.479,0.0
2.2916666666666665,0.0,0.86,0.0,0.479,0.0
2.333333333333333,0.0,0.86,0.0,0.479,0.0
2.375,0.0,0.86,0.0,0.479,0.0
2.4166666666666665,0.0,0.86,0.0,0.479,0.0
2.458333333333333,0.0,0.86,0.0,0.479,0.0
2.5,0.0,0.86,0.0,0.479,0.0
2.5416666666666665,0.0,0.86,0.0,0.479,0.0
2.583333333333333,0.0,0.86,0.0,0.479,0.0
2.625,0.0,0.86,0.0,0.479,0.0
2.6666666666666665,0.0,0.86,0.0,0.479,0.0
2.708333333333333,0.0,0.86,0.0,0.479,0.0
2.75,0.0,0.86,0.0,0.479,0.0
2.7916666666666665,0.0,0.86,0.0,0.479,0.0
2.833333333333333,0.0,0.86,0.0,0.479,0.0
2.875,0.0,0.86,0.0,0.479,0.0
2.9166666666666665,0.0,0.86,0.0,0.479,0.0
2.958333333333333,0.0,0.86,0.0,0.479,0.0
3.0,0.0,0.86,0.0,0.479,0.0
3.0416666666666665,0.0,0.86,0.0,0.479,0.0
3.083333333333333,0.0,0.86,0.0,0.479,0.0
3.125,0.0,0.86,0.0,0.479,0.0
3.1666666666666665,0.0,0.86,0.0,0.479,0.0
3.208333333333333,0.0,0.86,0.0,0.479,0.0
3.25,0.0,0.86,0.0,0.479,0.0
3.2916666666666665,0.0,0.86,0.0,0.479,0.0
3.333333333333333,0.0,0.86,0.0,0.479,0.0
3.375,0.0,0.86,0.0,0.479,0.0
3.4166666666666665,0.0,0.86,0.0,0.479,0.0
3.458333333333333,0.0,0.86,0.0,0.479,0.0
3.5,0.0,0.86,0.0,0.479,0.0
3.5416666666666665,0.0,0.86,0.0,0.479,0.0
3.583333333333333,0.0,0.86,0.0,0.479,0.0
3.625,0.0,0.86,0.0,0.479,0.0
3.6666666666666665,0.0,0.86,0.0,0.479,0.0
3.708333333333333,0.0,0.86,0.0,0.479,0.0
3.75,0.0,0.86,0.0,0.479,0.0
3.7916666666666665,0.0,0.86,0.0,0.479,0.0
3.833333333333333,0.0,0.86,0.0,0.479,0.0
3.875,0.0,0.86,0.0,0.479,0.0
3.9166666666666665,0.0,0.86,0.0,0.479,0.0
3.958333333333333,0.0,0.86,0.0,0.479,0.0
4.0,0.0,0.86,0.0,0.479,0.0
4.041666666666666,0.0,0.86,0.0,0.479,0.0
4.083333333333333,0.0,0.86,0.0,0.4165,0.0
4.125,0.0,0.86,0.0,0.4165,0.0
4.166666666666666,0.0,0.86,0.0,0.4165,0.0
4.208333333333333,0.0,0.86,0.0,0.4165,0.0
4.25,0.0,0.86,0.0,0.4165,0.0
4.291666666666666,0.0,0.86,0.0,0.4165,0.0
4.333333333333333,0.0,0.86,0.0,0.4165,0.0
4.375,0.0,0.86,0.0,0.479,0.0
4.416666666666666,0.0,0.86,0.0,0.479,0.0
4.458333333333333,0.0,0.86,0.0,0.479,0.0
4.5,0.0,0.86,0.0,0.479,0.0
4.541666666666666,0.0,0.86,0.0,0.479,0.0
4.583333333333333,0.0,0.86,0.0,0.479,0.0
4.625,0.0,0.86,0.0,0.479,0.0
4.666666666666666,0.0,0.86,0.0,0.479,0.0
4.708333333333333,0.0,0.86,0.0,0.479,0.0
4.75,0.0,0.86,0.0,0.479,0.0
4.791666666666666,0.0,0.86,0.0,0.479,0.0
4.833333333333333,0.0,0.86,0.0,0.479,0.0
4.875,0.0,0.86,0.0,0.479,0.0
4.916666666666666,0.0,0.86,0.0,0.479,0.0
4.958333333333333,0.0,0.86,0.0,0.479,0.0
5.0,0.0,0.86,0.0,0.479,0.0
5.041666666666666,0.0,0.86,0.0,0.479,0.0
5.083333333333333,0.0,0.86,0.0,0.479,0.0
5.125,0.0,0.86,0.0,0.479,0.0
5.166666666666666,0.0,0.86,0.0,0.479,0.0
5.208333333333333,0.0,0.86,0.0,0.479,0.0
5.25,0.0,0.86,0.0,0.479,0.0
5.291666666666666,0.0,0.86,0.0,0.479,0.0
5.333333333333333,0.0,0.86,0.0,0.479,0.0
5.375,0.0,0.86,0.0,0.479,0.0
5.416666666666666,0.0,0.86,0.0,0.479,0.0
5.458333333333333,0.0,0.86,0.0,0.479,0.0
5.5,0.0,0.86,0.0,0.479,0.0
5.541666666666666,0.0,0.86,0.0,0.479,0.0
5.583333333333333,0.0,0.86,0.0,0.479,0.0
5.625,0.0,0.86,0.0,0.479,0.0
5.666666666666666,0.0,0.86,0.0,0.479,0.0
5.708333333333333,0.0,0.86,0.0,0.479,0.0
5.75,0.0,0.86,0.0,0.479,0.0
5.791666666666666,0.0,0.86,0.0,0.479,0.0
5.833333333333333,0.0,0.86,0.0,0.479,0.0
5.875,0.0,0.86,0.0,0.479,0.0
5.916666666666666,0.0,0.86,0.0,0.479,0.0
5.958333333333333,0.0,0.86,0.0,0.479,0.0
6.0,0.0,0.86,0.0,0.479,0.0
6.041666666666666,0.0,0.86,0.0,0.479,0.0
6.083333333333333,0.0,0.86,0.0,0.479,0.0
6.125,0.0,0.86,0.0,0.479,0.0
6.166666666666666,0.0,0.86,0.0,0.479,0.0
6.208333333333333,0.0,0.86,0.0,0.479,0.0
6.25,0.0,0.86,0.0,0.479,0.0
6.291666666666666,0.0,0.86,0.0,0.479,0.0
6.333333333333333,0.0,0.86,0.0,0.479,0.0
6.375,0.0,0.86,0.0,0.479,0.0
6.416666666666666,0.0,0.86,0.0,0.479,0.0
6.458333333333333,0.0,0.86,0.0,0.479,0.0
6.5,0.0,0.86,0.0,0.479,0.0
6.541666666666666,0.0,0.86,0.0,0.479,0.0
6.583333333333333,0.0,0.86,0.0,0.479,0.0
6.625,0.0,0.86,0.0,0.479,0.0
6.666666666666666,0.0,0.86,0.0,0.479,0.0
6.708333333333333,0.0,0.86,0.0,0.479,0.0
6.75,0.0,0.86,0.0,0.479,0.0
6.791666666666666,0.0,0.86,0.0,0.479,0.0
6.833333333333333,0.0,0.86,0.0,0.479,0.0
6.875,0.0,0.86,0.0,0.479,0.0
6.916666666666666,0.0,0.86,0.0,0.479,0.0
6.958333333333333,0.0,0.86,0.0,0.479,0.0
7.0,0.0,0.86,0.0,0.479,0.0
7.041666666666666,0.0,0.86,0.0,0.479,0.0
7.083333333333333,0.0,0.86,0.0,0.479,0.0
7.125,0.0,0.86,0.0,0.479,0.0
7.166666666666666,0.0,0.86,0.0,0.479,0.0
7.208333333333333,0.0,0.86,0.0,0.479,0.0
7.25,0.0,0.86,0.0,0.479,0.0
7.291666666666666,0.0,0.86,0.0,0.479,0.0
7.333333333333333,0.0,0.86,0.0,0.479,0.0
7.375,0.0,0.86,0.0,0.479,0.0
7.416666666666666,0.0,0.86,0.0,0.479,0.0
7.458333333333333,0.0,0.86,0.0,0.479,0.0
7.5,0.0,0.86,0.0,0.479,0.0
7.541666666666666,0.0,0.86,0.0,0.479,0.0
7.583333333333333,0.0,0.86,0.0,0.479,0.0
7.625,0.0,0.86,0.0,0.479,0.0
7.666666666666666,0.0,0.86,0.0,0.479,0.0
7.708333333333333,0.0,0.86,0.0,0.479,0.0
7.75,0.0,0.86,0.0,0.479,0.0
7.791666666666666,0.0,0.86,0.0,0.479,0.0
7.833333333333333,0.0,0.86,0.0,0.479,0.0
7.875,0.0,0.86,0.0,0.479,0.0
7.916666666666666,0.0,0.86,0.0,0.479,0.0
7.958333333333333,0.0,0.86,0.0,0.479,0.0
8.0,0.0,0.86,0.0,0.479,0.0
8.041666666666666,0.0,0.86,0.0,0.479,0.0
8.083333333333332,0.0,0.86,0.0,0.479,0.0
8.125,0.0,0.86,0.0,0.479,0.0
8.166666666666666,0.0,0.86,0.0,0.479,0.0
8.208333333333332,0.0,0.86,0.0,0.479,0.0
8.25,0.0,0.86,0.0,0.479,0.0
8.291666666666666,0.0,0.86,0.0,0.479,0.0
8.333333333333332,0.0,0.86,0.0,0.479,0.0
8.375,0.0,0.86,0.0,0.479,0.0
8.416666666666666,0.0,0.86,0.0,0.479,0.0
8.458333333333332,0.0,0.86,0.0,0.479,0.0
8.5,0.0,0.86,0.0,0.479,0.0
8.541666666666666,0.0,0.86,0.0,0.479,0.0
8.583333333333332,0.0,0.86,0.0,0.479,0.0
8.625,0.0,0.86,0.0,0.479,0.0
8.666666666666666,0.0,0.86,0.0,0.479,0.0
8.708333333333332,0.0,0.86,0.0,0.479,0.0
8.75,0.0,0.86,0.0,0.479,0.0
8.791666666666666,0.0,0.86,0.0,0.479,0.0
8.833333333333332,0.0,0.86,0.0,0.479,0.0
8.875,0.0,0.86,0.0,0.479,0.0
8.916666666666666,0.0,0.86,0.0,0.479,0.0
8.958333333333332,0.0,0.86,0.0,0.479,0.0
9.0,0.0,0.86,0.0,0.479,0.0
9.041666666666666,0.0,0.86,0.0,0.479,0.0
9.083333333333332,0.0,0.86,0.0,0.479,0.0
9.125,0.0,0.86,0.0,0.479,0.0
9.166666666666666,0.0,0.86,0.0,0.479,0.0
9.208333333333332,0.0,0.86,0.0,0.479,0.0
9.25,0.0,0.86,0.0,0.479,0.0
9.291666666666666,0.0,0.86,0.0,0.479,0.0
9.333333333333332,0.0,0.86,0.0,0.479,0.0
9.375,0.0,0.86,0.0,0.479,0.0
9.416666666666666,0.0,0.86,0.0,0.479,0.17647058823529416
9.458333333333332,0.0,0.86,0.0,0.479,0.3529411764705883
9.5,0.0,0.86,0.0,0.479,0.3529411764705883
9.541666666666666,0.0773821743456717,0.86,-0.0649313539531491,0.479,0.17647058823529416
9.583333333333332,0.0711567641494104,0.909,0.006225410196261298,0.479,0.17647058823529416
9.625,0.0773821743456717,0.86,-0.0649313539531491,0.479,0.17647058823529416
9.666666666666666,0.0,0.86,0.0,0.515,0.0
9.708333333333332,0.0773821743456717,0.86,-0.0649313539531491,0.479,-0.17647058823529416
9.75,0.0773821743456717,0.86,-0.0649313539531491,0.544,-0.17647058823529416
9.791666666666666,0.0711567641494104,0.909,0.006225410196261298,0.479,0.0
9.833333333333332,0.0,0.86,0.0,0.479,-0.17647058823529416
9.875,0.0,0.86,0.0,0.479,-0.17647058823529416
9.916666666666666,0.0711567641494104,0.86,0.006225410196261298,0.479,0.0
9.958333333333332,0.0,0.86,0.0,0.479,0.17647058823529416
10.0,0.0773821743456717,0.814,-0.0649313539531491,0.544,0.17647058823529416
10.041666666666666,0.006225410196261298,0.86,-0.0711567641494104,0.479,0.0
10.083333333333332,0.0773821743456717,0.86,-0.0649313539531491,0.479,-0.17647058823529416
10.125,0.0711567641494104,0.961,0.006225410196261298,0.479,0.0
10.166666666666666,0.0,0.86,0.0,0.479,0.0
10.208333333333332,0.0,0.909,0.0,0.544,-0.17647058823529416
10.25,0.0773821743456717,0.909,-0.0649313539531491,0.544,0.3529411764705883
10.291666666666666,0.006225410196261298,0.86,-0.0711567641494104,0.5757,0.5294117647058825
10.333333333333332,0.0773821743456717,0.8716,-0.0649313539531491,0.544,0.17647058823529416
10.375,0.1485389384950821,0.86,-0.058705943756887806,0.544,0.0
10.416666666666666,0.0773821743456717,0.86,-0.0649313539531491,0.544,-0.17647058823529416
10.458333333333332,0.0773821743456717,0.814,-0.0649313539531491,0.515,-0.3529411764705883
10.5,0.0,0.86,0.0,0.544,-0.17647058823529416
10.541666666666666,0.0,0.9146,0.0,0.544,-0.17647058823529416
10.583333333333332,0.0773821743456717,0.86,-0.0649313539531491,0.479,-0.17647058823529416
10.625,0.0773821743456717,0.86,-0.0649313539531491,0.544,0.17647058823529416
10.666666666666666,0.006225410196261298,0.9146,-0.0711567641494104,0.544,0.17647058823529416
10.708333333333332,0.0,0.86,0.0,0.544,0.0
10.75,0.0773821743456717,0.86,-0.0649313539531491,0.544,0.17647058823529416
